"# PDIoT walking data"
"# Start time: 20181211T174116"
"# Group: D"
"# Subject: Maggie"
"# Activity type: Climbing stairs"
"# Sensor position: Wrist"
"# Side of body: Left"
"# Sensor mounting: Body"
"# Number of steps: 100"
"# Notes: Appleton"
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1544550076716","0","0.8730469","0.18066406","-0.29296875","33.4375","9.5625","28.78125"
"1544550076717","1","0.80859375","0.16992188","-0.28222656","5.46875","14.21875","43.0"
"1544550076717","2","0.69628906","0.28320312","-0.2705078","39.40625","25.6875","61.1875"
"1544550076719","3","0.76953125","0.1640625","-0.23925781","1.75","37.03125","64.75"
"1544550076720","4","0.82421875","0.22265625","-0.19042969","-36.75","29.40625","55.34375"
"1544550076721","5","0.8623047","0.28808594","-0.26464844","-58.71875","19.15625","52.46875"
"1544550076721","6","0.9316406","0.35351562","-0.27246094","-56.03125","14.8125","57.0625"
"1544550076722","7","0.9482422","0.32128906","-0.31152344","-62.6875","19.75","52.59375"
"1544550076722","8","0.99609375","0.35742188","-0.3876953","-72.65625","25.0625","42.53125"
"1544550076916","9","1.0019531","0.44140625","-0.3642578","-63.75","24.34375","34.84375"
"1544550076918","10","1.1650391","0.5732422","-0.36132812","-11.625","21.84375","36.1875"
"1544550076918","11","1.0712891","0.5439453","-0.2734375","61.25","8.71875","23.3125"
"1544550076919","12","0.9501953","0.3935547","-0.21386719","76.53125","-8.5625","-13.0625"
"1544550076920","13","0.9892578","0.3935547","-0.19335938","48.8125","-25.03125","-54.46875"
"1544550077116","14","1.1621094","0.3935547","-0.1484375","36.1875","-33.28125","-86.5"
"1544550077117","15","1.2050781","0.33203125","-0.055664062","29.53125","-38.96875","-109.5625"
"1544550077117","16","1.1728516","0.29101562","0.0029296875","11.75","-41.21875","-118.71875"
"1544550077118","17","1.0664062","0.3076172","-0.016601562","3.34375","-38.71875","-117.5625"
"1544550077118","18","0.91015625","0.29589844","-0.10058594","9.75","-26.6875","-108.40625"
"1544550077313","19","0.8808594","0.28515625","-0.123046875","20.8125","-13.5","-95.40625"
"1544550077513","20","1.0029297","0.29882812","-0.1484375","43.625","-5.375","-77.84375"
"1544550077912","21","1.1142578","0.23144531","-0.12695312","69.625","-0.8125","-50.5"
"1544550077912","22","1.1074219","0.16699219","-0.13085938","36.59375","3.90625","-26.25"
"1544550077913","23","0.9501953","0.16699219","-0.11328125","-1.0625","13.0","-3.6875"
"1544550077914","24","0.85839844","0.23046875","-0.14648438","-11.78125","22.375","24.8125"
"1544550077915","25","0.77734375","0.24804688","-0.22460938","20.625","33.0625","50.03125"
"1544550077915","26","0.828125","0.23046875","-0.26464844","52.0","44.71875","70.1875"
"1544550077916","27","0.89160156","0.203125","-0.25683594","51.125","49.71875","81.59375"
"1544550077917","28","0.98535156","0.22851562","-0.3095703","35.375","52.0","90.375"
"1544550078109","29","1.0166016","0.27734375","-0.4189453","37.09375","60.28125","103.625"
"1544550078110","30","0.7529297","0.25878906","-0.27246094","-12.53125","-32.3125","39.21875"
